dt,Celsius,State,AverageTemperature
19000104,6.639,Massachusetts,43.9502
19000104,7.084,Michigan,44.7512
19000104,8.755,Minnesota,47.759
19000104,17.431,Mississippi,63.3758
19000104,13.261,Missouri,55.8698
19000104,7.408,Montana,45.3344
19000104,10.142,Nebraska,50.2556
19000104,7.002,Nevada,44.6036
19000104,4.871,New Hampshire,40.7678
19000104,9.77,New Jersey,49.586
19000104,9.364,New Mexico,48.8552
19000104,6.622,New York,43.9196
19000104,13.956,North Carolina,57.1208
19000104,9.332,North Dakota,48.7976
19000104,9.707,Ohio,49.4726
19000104,15.33,Oklahoma,59.594
19000104,7.09,Oregon,44.762
19000104,8.551,Pennsylvania,47.3918
19000104,7.486,Rhode Island,45.4748
19000104,16.548,South Carolina,61.7864
19000104,9.822,South Dakota,49.6796
19000104,13.937,Tennessee,57.0866
19000104,17.043,Texas,62.6774
19000104,6.578,Utah,43.8404
19000104,4.723,Vermont,40.5014
19000104,12.11,Virginia,53.798
19000104,8.213,Washington,46.7834
19000104,10.244,West Virginia,50.4392
19000104,8.102,Wisconsin,46.5836
19000104,4.893,Wyoming,40.8074
19000105,21.311,Alabama,70.3598
19000105,2.308,Alaska,36.1544
19000105,19.945,Arizona,67.901
19000105,20.091,Arkansas,68.1638
19000105,17.085,California,62.753
19000105,12.44,Colorado,54.392
19000105,12.763,Connecticut,54.9734
19000105,16.458,Delaware,61.6244
19000105,17.38,District Of Columbia,63.284
19000105,23.84,Florida,74.912
19000105,21.31,Georgia ,70.358
19000105,22.291,Hawaii,72.1238
19000105,10.716,Idaho,51.2888
19000105,17.737,Illinois,63.9266
19000105,17.711,Indiana,63.8798
19000105,17.268,Iowa,63.0824
19000105,18.128,Kansas,64.6304
19000105,18.324,Kentucky,64.9832
19000105,22.886,Louisiana,73.1948
19000105,8.3,Maine,46.94
19000105,17.16,Maryland,62.888
19000105,11.682,Massachusetts,53.0276
19000105,12.826,Michigan,55.0868
19000105,14.255,Minnesota,57.659
19000105,21.803,Mississippi,71.2454
19000105,18.675,Missouri,65.615
19000105,12.513,Montana,54.5234
19000105,17.019,Nebraska,62.6342
19000105,14.058,Nevada,57.3044
19000105,9.96,New Hampshire,49.928
19000105,15.637,New Jersey,60.1466
19000105,16.552,New Mexico,61.7936
19000105,12.671,New York,54.8078
19000105,19.117,North Carolina,66.4106
19000105,15.126,North Dakota,59.2268
19000105,16.927,Ohio,62.4686
19000105,19.74,Oklahoma,67.532
19000105,11.192,Oregon,52.1456
19000105,14.954,Pennsylvania,58.9172
19000105,12.6,Rhode Island,54.68
19000105,20.934,South Carolina,69.6812
19000105,16.414,South Dakota,61.5452
19000105,18.754,Tennessee,65.7572
19000105,21.712,Texas,71.0816
19000105,13.922,Utah,57.0596
19000105,10.077,Vermont,50.1386
19000105,17.786,Virginia,64.0148
19000105,11.52,Washington,52.736
19000105,16.309,West Virginia,61.3562
19000105,14.099,Wisconsin,57.3782
19000105,11.644,Wyoming,52.9592
19000106,24.172,Alabama,75.5096
19000106,8.765,Alaska,47.777
19000106,24.861,Arizona,76.7498
19000106,24.159,Arkansas,75.4862
19000106,21.309,California,70.3562
19000106,17.87,Colorado,64.166
19000106,19.024,Connecticut,66.2432
19000106,21.568,Delaware,70.8224
19000106,22.268,District Of Columbia,72.0824
19000106,26.049,Florida,78.8882
19000106,24.394,Georgia ,75.9092
19000106,23.774,Hawaii,74.7932
19000106,16.417,Idaho,61.5506
19000106,21.312,Illinois,70.3616
19000106,21.203,Indiana,70.1654
19000106,20.693,Iowa,69.2474
19000106,23.542,Kansas,74.3756
19000106,22.63,Kentucky,72.734
19000106,26.094,Louisiana,78.9692
19000106,15.938,Maine,60.6884
19000106,22.032,Maryland,71.6576
19000106,18.552,Massachusetts,65.3936
19000106,16.841,Michigan,62.3138
19000106,18.418,Minnesota,65.1524
19000106,24.795,Mississippi,76.631
19000106,22.502,Missouri,72.5036
19000106,17.897,Montana,64.2146
19000106,21.817,Nebraska,71.2706
19000106,20.169,Nevada,68.3042
19000106,17.666,New Hampshire,63.7988
19000106,21.012,New Jersey,69.8216
19000106,21.684,New Mexico,71.0312
19000106,18.812,New York,65.8616
19000106,23.185,North Carolina,73.733
19000106,19.386,North Dakota,66.8948
19000106,20.88,Ohio,69.584
19000106,25.131,Oklahoma,77.2358
19000106,15.816,Oregon,60.4688
19000106,20.072,Pennsylvania,68.1296
19000106,18.923,Rhode Island,66.0614
19000106,24.326,South Carolina,75.7868
19000106,20.803,South Dakota,69.4454
19000106,22.761,Tennessee,72.9698
19000106,26.67,Texas,80.006
19000106,19.971,Utah,67.9478
19000106,17.528,Vermont,63.5504
19000106,22.253,Virginia,72.0554
19000106,15.54,Washington,59.972
19000106,20.944,West Virginia,69.6992
19000106,18.016,Wisconsin,64.4288
19000106,17.58,Wyoming,63.644
19000107,26.146,Alabama,79.0628
19000107,12.249,Alaska,54.0482
19000107,27.292,Arizona,81.1256
19000107,25.73,Arkansas,78.314
19000107,23.641,California,74.5538
19000107,19.159,Colorado,66.4862
19000107,22.232,Connecticut,72.0176
19000107,24.846,Delaware,76.7228
19000107,25.591,District Of Columbia,78.0638
19000107,27.209,Florida,80.9762
19000107,26.511,Georgia ,79.7198
19000107,24.265,Hawaii,75.677
19000107,17.449,Idaho,63.4082
19000107,23.739,Illinois,74.7302
19000107,23.606,Indiana,74.4908
19000107,22.717,Iowa,72.8906
19000107,25.293,Kansas,77.5274
19000107,24.789,Kentucky,76.6202
19000107,26.843,Louisiana,80.3174
19000107,18.31,Maine,64.958
19000107,25.226,Maryland,77.4068
19000107,21.31,Massachusetts,70.358
19000107,19.178,Michigan,66.5204
19000107,19.356,Minnesota,66.8408
19000107,26.58,Mississippi,79.844
19000107,24.601,Missouri,76.2818
19000107,18.371,Montana,65.0678
19000107,23.022,Nebraska,73.4396
19000107,22.227,Nevada,72.0086
19000107,19.902,New Hampshire,67.8236
19000107,24.079,New Jersey,75.3422
19000107,22.966,New Mexico,73.3388
19000107,21.11,New York,69.998
19000107,25.889,North Carolina,78.6002
19000107,20.12,North Dakota,68.216
19000107,23.154,Ohio,73.6772
19000107,26.112,Oklahoma,79.0016
19000107,17.671,Oregon,63.8078
19000107,22.502,Pennsylvania,72.5036
19000107,22.139,Rhode Island,71.8502
19000107,27.016,South Carolina,80.6288
19000107,22.025,South Dakota,71.645
19000107,24.964,Tennessee,76.9352
19000107,26.723,Texas,80.1014
19000107,21.6,Utah,70.88
19000107,19.632,Vermont,67.3376
19000107,24.945,Virginia,76.901
19000107,17.452,Washington,63.4136
19000107,22.952,West Virginia,73.3136
19000107,19.608,Wisconsin,67.2944
19000107,17.972,Wyoming,64.3496
19000108,27.122,Alabama,80.8196
19000108,9.195,Alaska,48.551
19000108,24.578,Arizona,76.2404
19000108,26.655,Arkansas,79.979
19000108,21.222,California,70.1996
19000108,18.519,Colorado,65.3342
19000108,21.883,Connecticut,71.3894
19000108,25.172,Delaware,77.3096
19000108,25.731,District Of Columbia,78.3158
19000108,27.798,Florida,82.0364
19000108,27.499,Georgia ,81.4982
19000108,24.663,Hawaii,76.3934
19000108,15.48,Idaho,59.864
19000108,26.149,Illinois,79.0682
19000108,25.482,Indiana,77.8676
19000108,24.946,Iowa,76.9028
19000108,26.73,Kansas,80.114
19000108,26.141,Kentucky,79.0538
19000108,27.241,Louisiana,81.0338
19000108,17.666,Maine,63.7988
19000108,25.581,Maryland,78.0458
19000108,20.513,Massachusetts,68.9234
19000108,22.029,Michigan,71.6522
19000108,22.282,Minnesota,72.1076
19000108,27.236,Mississippi,81.0248
19000108,26.56,Missouri,79.808
19000108,16.927,Montana,62.4686
19000108,24.512,Nebraska,76.1216
19000108,19.33,Nevada,66.794
19000108,18.828,New Hampshire,65.8904
19000108,24.221,New Jersey,75.5978
19000108,21.795,New Mexico,71.231
19000108,21.385,New York,70.493
19000108,26.658,North Carolina,79.9844
19000108,21.168,North Dakota,70.1024
19000108,24.359,Ohio,75.8462
19000108,27.335,Oklahoma,81.203
19000108,15.561,Oregon,60.0098
19000108,23.091,Pennsylvania,73.5638
19000108,21.727,Rhode Island,71.1086
19000108,28.022,South Carolina,82.4396
19000108,23.692,South Dakota,74.6456
19000108,26.005,Tennessee,78.809
19000108,26.747,Texas,80.1446
19000108,19.309,Utah,66.7562
19000108,18.817,Vermont,65.8706
19000108,25.791,Virginia,78.4238
19000108,15.346,Washington,59.6228
19000108,23.92,West Virginia,75.056
19000108,22.815,Wisconsin,73.067
19000108,17.709,Wyoming,63.8762
19000109,25.02,Alabama,77.036
19000109,4.111,Alaska,39.3998
19000109,20.607,Arizona,69.0926
19000109,24.796,Arkansas,76.6328
19000109,18.146,California,64.6628
19000109,13.264,Colorado,55.8752
19000109,18.622,Connecticut,65.5196
19000109,21.6,Delaware,70.88
